Test File Name,No saturation (same subgroup),Round Robin Saturation,Chunking Saturation,All Passed
0,P,P,F (5/5),F
1,P,P,F (5/5),F
2,P,P,F (5/5),F
3,P,P,F (5/5),F
4,P,P,P,P
5,P,P,F (5/5),F
6,P,P,F (5/5),F
7,P,P,F (5/5),F
8,P,P,F (5/5),F
9,P,P,F (5/5),F
10,P,P,P,P
11,P,P,F (5/5),F
12,P,P,F (5/5),F
13,P,P,P,P
14,P,P,P,P
15,P,P,F (5/5),F
16,P,P,F (5/5),F
17,P,P,F (5/5),F
18,P,F (5/5),F (5/5),F
19,F (1/5),F (5/5),F (5/5),F
20,P,F (3/5),F (5/5),F
21,P,P,F (5/5),F
22,P,P,F (5/5),F
23,P,P,F (5/5),F
24,P,P,F (5/5),F
25,P,P,F (5/5),F
26,P,P,F (5/5),F
27,P,F (3/5),F (5/5),F
28,P,F (5/5),F (5/5),F
29,P,P,F (5/5),F
30,P,P,P,P
31,P,P,P,P
32,P,P,F (5/5),F
33,P,F (1/5),F (5/5),F
34,P,F (4/5),P,F
35,P,P,F (5/5),F
36,P,P,P,P
37,P,F (5/5),F (5/5),F
38,P,P,P,P
39,P,P,F (5/5),F
40,P,P,F (5/5),F
41,P,P,F (5/5),F
42,P,P,F (5/5),F
43,P,P,F (5/5),F
44,P,P,F (5/5),F
45,P,P,F (5/5),F
46,P,P,P,P
47,P,P,F (5/5),F
48,P,P,P,P
49,P,P,F (5/5),F
50,P,P,F (5/5),F
51,P,P,F (5/5),F
52,P,P,P,P
53,P,P,F (5/5),F
54,P,P,F (5/5),F
55,P,P,P,P
56,P,P,P,P
57,P,P,F (5/5),F
58,P,P,F (5/5),F
59,P,P,F (5/5),F
60,P,P,F (5/5),F
61,P,P,P,P
62,P,P,F (5/5),F
63,P,P,F (5/5),F
64,P,P,P,P
65,P,P,F (5/5),F
66,P,P,P,P
67,P,P,F (5/5),F
68,P,P,F (5/5),F
69,P,P,F (5/5),F
70,P,P,F (5/5),F
71,P,P,F (5/5),F
72,P,P,P,P
73,P,P,F (5/5),F
74,P,P,F (5/5),F
75,P,P,F (5/5),F
76,P,P,F (5/5),F
77,P,P,F (5/5),F
78,P,P,P,P
79,P,P,F (5/5),F
80,P,P,P,P
81,P,P,F (5/5),F
82,P,P,P,P
83,P,P,P,P
84,P,P,P,P
85,P,P,F (5/5),F
86,P,P,P,P
87,P,P,F (5/5),F
88,P,P,F (5/5),F
89,P,P,F (5/5),F
90,P,P,F (5/5),F
91,P,P,P,P
92,P,P,P,P
93,P,P,P,P
94,P,P,P,P
95,P,P,P,P
96,P,P,F (5/5),F
97,P,P,F (5/5),F
98,P,P,F (5/5),F
99,P,P,P,P
100,P,P,P,P
101,P,P,F (5/5),F
102,P,P,F (5/5),F
103,P,P,F (5/5),F
104,P,P,F (5/5),F
Total failures:,1,8,74,75